dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,pred_cnt
01,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,985,2238.66111616162
06,1,0,1,0,4,1,1,0.204348,0.518261,0.0895652,1606,1875.1515515873
21,1,0,1,0,5,1,1,0.1775,0.457083,0.353242,1543,1882.10214935065
24,1,0,1,0,1,1,1,0.0973913,0.491739,0.15833,1416,1673.48186580087
10,1,0,2,0,4,1,1,0.144348,0.437391,0.221935,1538,1816.57348556999
15,1,0,2,0,2,1,1,0.266087,0.314348,0.291374,1815,2125.30050757576
04,1,0,3,0,5,1,2,0.261667,0.610417,0.203346,1944,2293.62059126984
15,1,0,3,0,2,1,2,0.317391,0.655652,0.184309,2056,2435.90737955182
16,1,0,3,0,3,1,2,0.365217,0.776522,0.203117,2192,2345.68975793651
19,1,0,3,0,6,0,1,0.4725,0.379167,0.368167,3117,3459.09933730159
21,2,0,3,0,1,1,2,0.430435,0.737391,0.288783,2077,3131.10391666667
27,2,0,3,0,0,0,2,0.253043,0.493913,0.1843,1693,2782.3565
29,2,0,3,0,2,1,1,0.3025,0.314167,0.226996,2425,2875.69725
30,2,0,3,0,3,1,2,0.3,0.646667,0.172888,1536,3014.98158333334
31,2,0,3,0,4,1,3,0.268333,0.918333,0.217646,1685,2348.0055
06,2,0,4,0,3,1,1,0.390833,0.470833,0.263063,2808,3467.61058333333
01,2,0,5,0,0,0,2,0.451667,0.762083,0.106354,3351,4175.81891666667
04,2,0,5,0,3,1,2,0.414167,0.737083,0.328996,2633,3438.59284722222
06,2,0,5,0,5,1,1,0.479167,0.59,0.228246,4608,4595.28403804855
07,2,0,5,0,6,0,1,0.52,0.54125,0.16045,4714,4784.87238095238
18,2,0,5,0,3,1,2,0.55,0.87,0.201492,3855,4117.92494919821
19,2,0,5,0,4,1,2,0.530833,0.829583,0.108213,4575,4276.65668295383
30,2,0,5,1,1,0,1,0.733333,0.685,0.131225,4098,4850.48206051587
04,2,0,6,0,6,0,1,0.635,0.45625,0.123142,5342,5156.7745952381
23,3,0,6,0,4,1,2,0.728333,0.703333,0.238804,4790,4377.37787276215
27,3,0,6,0,1,1,2,0.6825,0.658333,0.107588,4708,4616.80124741201
08,3,0,7,0,5,1,2,0.709167,0.757917,0.225129,4040,4386.56024854765
13,3,0,7,0,3,1,1,0.746667,0.631667,0.146133,4342,4717.00930072308
14,3,0,7,0,4,1,1,0.680833,0.47625,0.240667,5084,4681.60737103175
18,3,0,7,0,1,1,1,0.746667,0.65125,0.215804,4458,4366.82632378564
23,3,0,7,0,6,0,1,0.849167,0.5,0.131221,3285,4724.44410714286
25,3,0,7,0,1,1,1,0.743333,0.757083,0.0908083,3840,4738.63305235706
28,3,0,7,0,4,1,1,0.779167,0.583333,0.178479,4390,4604.11334859585
09,3,0,8,0,2,1,1,0.775,0.570417,0.151121,4602,4698.09501109307
10,3,0,8,0,3,1,1,0.766667,0.424167,0.200258,4780,4812.96364880952
19,3,0,8,0,5,1,2,0.685,0.722917,0.139308,4153,4566.47813714914
22,3,0,8,0,1,1,1,0.691667,0.47,0.27675,4758,4566.98879242979
27,3,0,8,0,6,0,2,0.68,0.85,0.375617,1115,4144.094
06,3,0,9,0,2,1,3,0.54,0.886957,0.343943,2710,3316.33341666667
09,3,0,9,0,5,1,2,0.65,0.897917,0.124379,3544,4241.01400024438
22,3,0,9,0,4,1,2,0.628333,0.902083,0.128125,4795,3921.29804191105
23,4,0,9,0,5,1,2,0.609167,0.9725,0.0783667,2395,4221.264
29,4,0,9,0,4,1,1,0.616667,0.699167,0.172883,4839,4644.49896417798
03,4,0,10,0,1,1,2,0.384167,0.760833,0.0833458,3570,3907.94143650794
04,4,0,10,0,2,1,1,0.484167,0.71,0.205854,4456,4605.32941025641
05,4,0,10,0,3,1,1,0.538333,0.647917,0.17725,4826,4660.20098105
18,4,0,10,0,2,1,2,0.5325,0.701667,0.110087,4748,4501.10256905057
22,4,0,10,0,6,0,1,0.4225,0.629167,0.0926667,4308,3771.60578968254
25,4,0,10,0,2,1,1,0.471667,0.622917,0.166658,4687,4617.69883333333
30,4,0,10,0,0,0,1,0.319167,0.62375,0.176617,3331,3847.31629166667
02,4,0,11,0,3,1,1,0.3775,0.71875,0.0820917,4186,3735.29265064103
06,4,0,11,0,0,0,1,0.348333,0.734583,0.0920542,3649,3766.84654166667
10,4,0,11,0,4,1,2,0.38,0.813333,0.189067,2933,3328.09925595238
12,4,0,11,0,6,0,1,0.356667,0.552917,0.212062,4067,3636.82047023809
18,4,0,11,0,5,1,1,0.274167,0.41,0.168533,3392,3314.45829166667
20,4,0,11,0,0,0,2,0.463333,0.684583,0.18595,3520,4109.76974232712
21,4,0,11,0,1,1,3,0.4475,0.91,0.138054,2765,3072.5605
27,4,0,11,0,0,0,1,0.459167,0.698333,0.208954,3071,4013.69187454212
30,4,0,11,0,3,1,1,0.325,0.613333,0.271158,3613,3715.71823397436
10,4,0,12,0,6,0,1,0.275,0.5075,0.233221,3190,3394.91248946886
12,4,0,12,0,1,1,1,0.238333,0.670833,0.06345,3310,3250.69365277778
17,4,0,12,0,6,0,2,0.258333,0.560833,0.243167,2739,3227.28726923077
28,1,0,12,0,3,1,1,0.29913,0.503913,0.293961,2302,2291.36688095238
04,1,1,1,0,3,1,2,0.1075,0.414583,0.1847,2368,3264.21498998146
12,1,1,1,0,4,1,2,0.3825,0.802917,0.180967,4097,3751.01328621379
14,1,1,1,0,6,0,1,0.18,0.4575,0.187183,2493,3303.94631987146
18,1,1,1,0,3,1,1,0.303333,0.443333,0.415429,3376,3829.33769381072
20,1,1,1,0,5,1,2,0.2175,0.45,0.20275,3163,3262.55860109257
21,1,1,1,0,6,0,2,0.173333,0.83125,0.222642,1301,3019.72675
23,1,1,1,0,1,1,2,0.218333,0.91125,0.110708,2432,2466.10472222222
30,1,1,1,0,1,1,1,0.269167,0.400833,0.215792,3624,3330.52103045949
03,1,1,2,0,5,1,1,0.313333,0.526667,0.178496,4151,3913.96139400913
04,1,1,2,0,6,0,2,0.264167,0.779583,0.121896,2832,3125.0447173913
09,1,1,2,0,4,1,1,0.265,0.562083,0.194037,3830,3490.20630816511
14,1,1,2,0,2,1,2,0.319167,0.50875,0.141179,3922,3815.73654752114
18,1,1,2,0,6,0,1,0.346667,0.534583,0.190929,4318,4209.26555350242
19,1,1,2,0,0,0,2,0.28,0.515833,0.253112,2689,3258.72150743459
13,1,1,3,0,2,1,1,0.565,0.6175,0.23695,5847,5404.38735248016
14,1,1,3,0,3,1,1,0.5725,0.507083,0.115062,6312,6012.89893204365
20,1,1,3,0,2,1,1,0.560833,0.807917,0.121271,6093,5629.04607569445
26,2,1,3,0,1,1,1,0.445833,0.477917,0.386821,5558,5092.30283333333
28,2,1,3,0,3,1,1,0.484167,0.48125,0.291671,5698,5608.81932872504
03,2,1,4,0,2,1,1,0.466667,0.396667,0.100133,6772,5901.31652976191
05,2,1,4,0,4,1,1,0.435,0.374167,0.219529,6457,5550.20484415584
15,2,1,4,0,0,0,1,0.606667,0.507917,0.225129,7132,6131.92591666666
22,2,1,4,0,0,0,3,0.396667,0.835417,0.344546,1027,3550.39692063492
28,2,1,4,0,6,0,2,0.376667,0.489583,0.129975,4220,4963.377
30,2,1,4,0,1,1,2,0.464167,0.57,0.171638,5572,5536.82916584967
04,2,1,5,0,5,1,1,0.6275,0.735417,0.162938,6296,6510.06227059914
05,2,1,5,0,6,0,2,0.621667,0.756667,0.152992,6883,5822.0634589372
09,2,1,5,0,3,1,2,0.575,0.744167,0.216412,4717,5995.33490338164
11,2,1,5,0,5,1,1,0.533333,0.360417,0.236937,7030,6559.70460731213
13,2,1,5,0,0,0,1,0.6125,0.57625,0.225117,6118,6631.04108978175
14,2,1,5,0,1,1,2,0.573333,0.789583,0.212692,2843,5285.41840338164
22,2,1,5,0,2,1,2,0.615,0.765833,0.118167,6073,6235.00023671498
23,2,1,5,0,3,1,2,0.621667,0.774583,0.102,5260,6128.67007004831
24,2,1,5,0,4,1,1,0.655,0.716667,0.172896,6770,6271.39956024747
27,2,1,5,0,0,0,1,0.69,0.697083,0.215171,6591,6369.098933349
29,2,1,5,0,2,1,1,0.7225,0.684583,0.2954,5743,6246.64416666667
07,2,1,6,0,4,1,1,0.6025,0.567083,0.15735,7494,6709.59414582461
09,2,1,6,0,6,0,1,0.710833,0.437083,0.144287,7498,6796.18940797306
11,2,1,6,0,1,1,2,0.720833,0.587917,0.207713,6664,6092.50688867576
12,2,1,6,0,2,1,2,0.653333,0.833333,0.214546,4972,5053.93923671498
14,2,1,6,0,4,1,1,0.648333,0.569583,0.253733,7363,6723.81044083429
19,2,1,6,0,2,1,1,0.688333,0.69,0.148017,6825,6562.32584375
21,3,1,6,0,4,1,1,0.805833,0.567917,0.118787,5905,6479.60261590432
22,3,1,6,0,5,1,1,0.7775,0.57375,0.182842,5823,6611.84257250817
25,3,1,6,0,1,1,1,0.715833,0.504167,0.300383,6779,6763.44549404762
29,3,1,6,0,5,1,1,0.834167,0.48875,0.165417,5463,6260.46633884804
30,3,1,6,0,6,0,1,0.765,0.60125,0.161071,5687,6774.87899725877
03,3,1,7,0,2,1,1,0.780833,0.492083,0.126237,6660,6394.16680753968
10,3,1,7,0,2,1,2,0.720833,0.6675,0.151737,6290,6379.36834838935
15,3,1,7,0,0,0,1,0.745833,0.717917,0.166667,6031,6103.93086309523
18,3,1,7,0,3,1,1,0.793333,0.577083,0.137442,5713,6510.0958820028
01,3,1,8,0,3,1,1,0.7175,0.6775,0.141179,7580,6519.57574399114
05,3,1,8,0,0,0,1,0.769167,0.6525,0.290421,5464,6487.57519246032
19,3,1,8,0,0,0,2,0.635833,0.711667,0.08645,4549,6513.74801449275
20,3,1,8,0,1,1,2,0.635833,0.734167,0.129979,6530,6425.52475691699
26,3,1,8,0,0,0,2,0.653333,0.845833,0.228858,5255,5517.87529425466
31,3,1,8,0,5,1,1,0.764167,0.5875,0.168533,7350,6700.98569651952
02,3,1,9,0,0,0,2,0.696667,0.815,0.0640708,5810,5819.42076449275
05,3,1,9,0,3,1,1,0.736667,0.74125,0.187808,7112,6479.89389037433
13,3,1,9,0,4,1,1,0.6125,0.637083,0.0827208,7804,7212.63533423974
22,3,1,9,0,6,0,1,0.65,0.646667,0.283583,8395,6900.67375477757
29,4,1,9,0,6,0,1,0.5425,0.542917,0.227604,8555,6847.20503422619
08,4,1,10,1,1,0,2,0.383333,0.709583,0.189679,5478,4357.72438492064
12,4,1,10,0,5,1,1,0.4375,0.539167,0.235092,7282,6202.10207620614
14,4,1,10,0,0,0,1,0.521667,0.640417,0.278612,6639,6616.74808184524
16,4,1,10,0,2,1,1,0.468333,0.558333,0.182221,7534,6448.87861083817
19,4,1,10,0,5,1,2,0.563333,0.815,0.134954,5424,5968.58218686869
24,4,1,10,0,3,1,1,0.5875,0.63625,0.0727792,7693,7186.16053053304
27,4,1,10,0,6,0,2,0.53,0.72,0.235692,7852,6268.64293650794
06,4,1,11,0,2,1,1,0.280833,0.567083,0.173513,5686,4879.26764285714
10,4,1,11,0,6,0,1,0.389167,0.645417,0.0578458,6536,4938.37157589286
11,4,1,11,0,0,0,1,0.420833,0.659167,0.1275,6852,4932.32647668651
15,4,1,11,0,4,1,2,0.321667,0.620417,0.152987,5445,4669.72857457983
18,4,1,11,0,0,0,1,0.3425,0.692917,0.227612,4669,4762.26962103175
24,4,1,11,0,6,0,1,0.278333,0.404583,0.376871,2277,4273.24520039683
26,4,1,11,0,1,1,1,0.313333,0.535417,0.04665,5087,4527.59130208333
27,4,1,11,0,2,1,2,0.291667,0.786667,0.237562,3959,4044.82693055556
28,4,1,11,0,3,1,1,0.296667,0.50625,0.210821,5260,4795.72207539683
29,4,1,11,0,4,1,1,0.28087,0.555652,0.115522,5323,4268.21033581349
01,4,1,12,0,6,0,2,0.298333,0.806667,0.0597042,5191,4382.53937301587
08,4,1,12,0,6,0,2,0.381667,0.91125,0.101379,5582,4311.33289484127
14,4,1,12,0,5,1,1,0.281667,0.642917,0.131229,5611,4748.51558382936
26,1,1,12,0,3,1,3,0.243333,0.823333,0.316546,441,2593.8414375
29,1,1,12,0,6,0,2,0.253333,0.752917,0.124383,1341,2620.27872532781
